Plot.Myc.Legacy,Species.Myc.Type,Unit,Position,Species,Identifier.1,corrected.percent.C,corrected.percent.N,C:N,C13.corrected,N15.corrected
AM,AM,2_9,Center,ACSA,2_9 C ACSA,47.34426823,1.837323987,25.76805646,-29.94267217,1.342892511
AM,AM,2_9,Center,ACSA,2_9 C ACSA,49.32029712,2.187398194,22.5474709,-31.25971798,1.56081328
AM,AM,2_9,Edge,ACSA,2_9 E ACSA,48.62876819,1.035212718,46.97466266,-29.84352337,0.934462264
AM,AM,2_9,Edge,ACSA,2_9 E ACSA,48.5018156,1.54397705,31.41355993,-30.32021697,-0.856465143
AM,AM,2_9,Edge,ACSA,2_9 E ACSA,47.11345745,2.184043703,21.57166424,-28.83075798,-1.296215807
AM,AM,2_9,Edge,ACSA,2_9 E ACSA,48.19077757,1.635087389,29.47290639,-30.37064174,-0.992393932
AM,AM,2_9,Center,NYSY,2_9 C NYSY,47.31828811,2.480915154,19.07291671,-29.93497836,3.59164438
AM,AM,2_9,Center,NYSY,2_9 C NYSY,47.21006553,2.42054544,19.50389559,-29.03360682,4.021893354
AM,AM,2_9,Edge,NYSY,2_9 E NYSY,47.2503519,2.462961709,19.18436317,-29.56409974,4.21718698
AM,AM,2_9,Edge,NYSY,2_9 E NYSY,47.21545657,2.176039596,21.69788485,-29.78763636,4.320551061
AM,EcM,8_1,Edge,CACO,8_1 E CACO,47.91183057,2.726223021,17.57443548,-27.9028488,-0.214139922
AM,EcM,8_1,Edge,CACO,8_1 E CACO,46.90966454,2.32435255,20.1818199,-28.89327271,1.74136518
AM,EcM,8_1,Edge,CACO,8_1 E CACO,48.10786208,2.647385973,18.17183538,-28.72763703,0.653559846
AM,EcM,8_1,Center,BELE,8_1 C BELE,47.4999514,1.74225795,27.26344363,-30.8456992,3.224665074
AM,EcM,8_1,Center,BELE,8_1 C BELE,47.23984718,2.05516324,22.98593429,-30.4784036,3.148424732
AM,EcM,8_1,Edge,BELE,8_1 E BELE,46.0003464,2.594703661,17.72855494,-31.83046613,1.765196221
AM,EcM,8_1,Edge,BELE,8_1 E BELE,45.31267851,2.739453983,16.54077009,-30.70177762,0.991796725
AM,AM,8_1,Edge,NYSY,8_1 E NYSY,47.30860438,2.236365992,21.15423171,-30.77937614,3.32550736
AM,AM,8_1,Edge,NYSY,8_1 E NYSY,47.29446294,2.319228087,20.39232933,-31.23501852,3.34261767
AM,AM,8_1,Edge,NYSY,8_1 E NYSY,47.59602275,2.029153438,23.45609843,-29.77821968,3.759513124
AM,AM,8_1,Edge,NYSY,8_1 E NYSY,47.14283089,2.090290694,22.55324153,-30.19061281,3.843506038
AM,EcM,2_5,Center,QURU,2_5 C QURU,47.98349383,2.648179157,18.11942885,-29.67034686,6.910886595
AM,EcM,2_5,Center,QURU,2_5 C QURU,47.66425993,2.586120836,18.43079383,-29.54149496,6.963824934
AM,EcM,2_5,Center,QURU,2_5 C QURU,48.44253996,2.427588973,19.95500083,-29.31857263,6.32924402
AM,EcM,2_5,Center,QURU,2_5 C QURU,48.19424963,2.266616373,21.26264074,-28.97412246,5.884263425
AM,EcM,2_5,Center,QURU,2_5 C QURU,49.37874008,2.499994925,19.75153612,-28.95156118,6.012941241
AM,EcM,2_5,Edge,QURU,2_5 E QURU,47.99734565,2.062368327,23.2729261,-29.93154283,5.737974522
AM,EcM,2_5,Edge,QURU,2_5 E QURU,48.54254537,2.588529758,18.75294082,-28.70977264,4.39804694
AM,EcM,2_5,Edge,QURU,2_5 E QURU,47.99838066,2.220421135,21.61679147,-29.06580508,4.655642058
AM,EcM,2_5,Edge,QURU,2_5 E QURU,48.06258333,1.95633305,24.5676897,-29.97803409,6.881549726
AM,EcM,2_5,Edge,QURU,2_5 E QURU,48.15863138,2.45550438,19.61252107,-28.8362196,3.775547549
AM,EcM,2_5,Center,TIAM,2_5 C TIAM,47.61314605,2.523545074,18.86756315,-29.08161839,3.005673591
AM,EcM,2_5,Center,TIAM,2_5 C TIAM,47.92910159,3.537766272,13.54784288,-29.19160802,6.442708819
AM,EcM,2_5,Center,TIAM,2_5 C TIAM,46.82524036,2.589971599,18.07944164,-28.35579677,5.119473154
AM,EcM,2_5,Edge,TIAM,2_5 E TIAM,47.7793961,2.853413654,16.7446441,-27.06801173,3.189328666
AM,EcM,2_5,Edge,TIAM,2_5 E TIAM,48.5038578,2.976387503,16.2962174,-27.2347007,2.401808765
AM,EcM,2_5,Edge,TIAM,2_5 E TIAM,48.04215628,2.934225596,16.37302747,-28.03249553,2.033568293
AM,EcM,2_5,Edge,TIAM,2_5 E TIAM,47.69025201,2.960285682,16.11001678,-28.2362197,2.619817164
AM,EcM,2_5,Center,CACO,2_5 C CACO,48.50189157,2.621401594,18.50227438,-29.87280842,3.158875349
AM,EcM,2_5,Center,CACO,2_5 C CACO,48.25826208,2.921557225,16.5179931,-28.96994924,4.416473754
AM,EcM,2_5,Edge,CACO,2_5 E CACO,48.21013028,2.561601188,18.82031071,-28.79952435,2.228021631
AM,EcM,2_5,Edge,CACO,2_5 E CACO,48.795143,2.937127541,16.61321898,-28.59269764,1.866103664
AM,AM,2_5,Center,ACRU,2_5 C ACRU,49.04666115,2.391534137,20.5084512,-31.64062293,3.025229032
AM,AM,2_5,Center,ACRU,2_5 C ACRU,49.41504217,2.284551308,21.6300864,-31.57150782,3.179220648
AM,AM,2_5,Edge,ACRU,2_5 E ACRU,49.66112934,2.014393863,24.65313773,-32.27527155,2.451950141
